Name,Ratings,Review_Count,ctype,Years,hq,Employees
TCS,3.8,"59.9k Reviews",Public,"55 years old","Mumbai,Maharashtra","1 Lakh+ Employees (India)"
Accenture,4.1,"38.3k Reviews",Public,"34 years old","Dublin","1 Lakh+ Employees (India)"
Cognizant,3.9,"34.9k Reviews",Private,"29 years old","Teaneck, New Jersey","1 Lakh+ Employees (India)"
ICICI Bank,4.0,"28.5k Reviews",Public,"29 years old","Mumbai,Maharashtra","1 Lakh+ Employees (India)"
Wipro,3.9,"28.4k Reviews",Public,"78 years old","Bangalore/Bengaluru,Karnataka","1 Lakh+ Employees (India)"
HDFC Bank,3.9,"27.8k Reviews",Public,"29 years old","Mumbai,Maharashtra","1 Lakh+ Employees (India)"
Infosys,3.9,"26.1k Reviews",Public,"42 years old","Bengaluru/Bangalore,Karnataka","1 Lakh+ Employees (India)"
Capgemini,3.9,"24.4k Reviews",Public,"56 years old","Paris","1 Lakh+ Employees (India)"
Tech Mahindra,3.7,"22.8k Reviews",Public,"37 years old","Pune,Maharashtra","1 Lakh+ Employees (India)"
Genpact,4.0,"22.1k Reviews",Public,"26 years old","New York,New York","1 Lakh+ Employees (India)"
HCLTech,3.8,"21.7k Reviews",Public,"32 years old","Noida,Uttar Pradesh","1 Lakh+ Employees (India)"
Axis Bank,3.9,"18.7k Reviews",Public,"30 years old","Mumbai,Maharashtra","50k-1 Lakh Employees (India)"
Concentrix Corporation,4.0,"17.6k Reviews",Public,"40 years old","Fremont,California","10k-50k Employees (India)"
IBM,4.1,"17.4k Reviews",Public,"112 years old","Armonk,New York","50k-1 Lakh Employees (India)"
Reliance Jio,4.0,"16.9k Reviews",Public,"16 years old","Navi Mumbai,Maharashtra","50k-1 Lakh Employees (India)"
Amazon,4.2,"16.7k Reviews",Public,"29 years old","Seattle,Washington","1 Lakh+ Employees (India)"
Larsen & Toubro,4.0,"16.1k Reviews",Public,"85 years old","Mumbai,Maharashtra","1 Lakh+ Employees (India)"
HDB Financial Services,4.0,"15.1k Reviews",Private,"16 years old","Ahmedabad,Gujarat","10k-50k Employees (India)"
Reliance Retail,4.0,"14.3k Reviews",Private,"17 years old","Navi Mumbai,Maharashtra","1 Lakh+ Employees (India)"
Teleperformance,3.6,"14k Reviews",Private,"45 years old","Paris","10k-50k Employees (India)"
Vodafone Idea,4.2,"14k Reviews",Public,"5 years old","Gandhinagar,Gujarat","10k-50k Employees (India)"
Deloitte,4.0,"11.8k Reviews",Private,"178 years old","London,United Kingdom","50k-1 Lakh Employees (India)"
Kotak Mahindra Bank,3.8,"11.7k Reviews",Public,"20 years old","Mumbai,Maharashtra","10k-50k Employees (India)"
BYJU'S,3.2,"11.4k Reviews",Private,"12 years old","Bangalore,Karnataka","1k-5k Employees (India)"
Reliance Industries,4.0,"11.1k Reviews",Public,"46 years old","Navi Mumbai,Maharashtra",
Bharti Airtel,4.0,"10.4k Reviews",Public,"28 years old","Gurgaon/Gurugram,Haryana","10k-50k Employees (India)"
Tata Motors,4.2,"9.7k Reviews",Public,"78 years old","Pune,Maharashtra","50k-1 Lakh Employees (India)"
Flipkart,4.1,"8.3k Reviews",Public,"16 years old","Bangalore,Karnataka","10k-50k Employees (India)"
WNS,3.6,"8.1k Reviews",Private,"27 years old","Mumbai,Maharashtra","10k-50k Employees (India)"
Ernst & Young,3.7,"8k Reviews",Private,"21 years old","London","10k-50k Employees (India)"
IndusInd Bank,3.8,"7.7k Reviews",Public,"29 years old","Gurgaon/Gurugram,Haryana","10k-50k Employees (India)"
